month,job_count,avg_salary
2024-01,129794,143230
2024-02,128293,143646
2024-03,130723,144062
2024-04,133040,144480
2024-05,129295,144899
2024-06,129721,145319
2024-07,133992,145741
2024-08,132776,146163
2024-09,130081,146587
2024-10,133243,147012
2024-11,130648,147439
2024-12,130917,147866
2025-01,133594,151261
2025-02,127706,151700
2025-03,129006,152140
2025-04,132621,152581
2025-05,132123,153023
2025-06,135416,153467
2025-07,133126,153912
2025-08,132054,154358
2025-09,139942,154806
2025-10,135684,155255
2025-11,136962,155705
2025-12,132258,156157
2026-01,135794,159742
2026-02,138271,160205
2026-03,135155,160670
2026-04,139697,161136
2026-05,137750,161603
2026-06,138936,162072
